id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_creative_commons,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
407,Peanut Butter Cool Milkshake,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,0.5,1.0,2.0,1.0,,,,,,,"cup coconut milk, regular","cup unsweetened almond milk, vanilla",tablespoons all-natural peanut butter,teaspoon vanilla extract,,,,,,,Add all the listed ingredients to a blender.,Blend on high until smooth and creamy.,Enjoy your smoothie,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Peanut_Butter_Cool_Milkshake-Peanut_Butter_Cool_Milkshake.jpg,True,253.0,23.0,7.0,5.0
408,Sweet Coffee Milkshake,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,1.0,0.125,1.0,1.0,2.0,,,,,,teaspoon matcha powder,teaspoon vanilla bean,cup cashew milk,tablespoon coconut oil,ice cubes,,,,,,Add all the ingredients into your blender.,Blend until smooth,Serve chilled.,Enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Sweet_Coffee_Milkshake-Sweet_Coffee_Milkshake.jpg,True,147.0,15.0,0.5,1.0
409,The Refreshing Nut Smoothie,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,1.0,2.0,1.0,,1.0,,,,,,tablespoon chia seeds,cups water,ounces Macadamia Nuts,"packets Stevia, optional",ounces Hazelnut,,,,,,Add all the listed ingredients to a blender.,Blend on high until smooth and creamy.,Enjoy your smoothie.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Refreshing_Nut_Smoothie-The_Refreshing_Nut_Smoothie.jpg,True,452.0,43.0,15.0,9.0
410,Salted Macadamia Choco Smoothie,Drinks And Smoothies,5.0,,0.0,,Easy,1.0,2.0,0.3,1.0,,,,,,,,"tablespoons macadamia nuts, salted","cup chocolate whey protein powder, low carb","cup almond milk, unsweetened",,,,,,,,Add the listed ingredients to your blender and blend until you have a smooth mixture,Chill and enjoy!,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Salted_Macadamia_Choco_Smoothie-Salted_Macadamia_Choco_Smoothie_gU0eX0N.jpg,True,165.0,2.0,1.0,12.0
411,Chia And Coffee Blend,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,1.0,2.0,1.0,,1.0,,,,,,tablespoon chia seeds,"cups stongly brewed coffee, chilled",ounce Macadamia Nuts,"packets Stevia, optional",tablespoon MCT oil,,,,,,Add all the listed ingredients to a blender.,Blend on high until smooth and creamy.,Enjoy your smoothie.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Chia_And_Coffee_Blend-Chia_And_Coffee_Blend.jpg,True,395.0,39.0,11.0,5.2
412,Cilantro And Citrus Glass,Drinks And Smoothies,5.0,,0.0,,Easy,1.0,0.5,2.0,0.5,1.0,1.0,0.5,0.5,,,,cup ice,cups arugula,"cup celery, diced","grapefruit, peeled and segmented","handful fresh cilantro leaves, chopped","lemon, juiced",cup of water,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cilantro_And_Citrus_Glass-Cilantro_And_Citrus_Glass.jpg,True,75.0,1.0,16.0,3.0
413,The Wild Matcha Delight,Drinks And Smoothies,5.0,,0.0,,Easy,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,cup unsweetened coconut milk,teaspoon matcha powder,teaspoon cinnamon,"cup baby spinach, chopped","cup wild blueberries, frozen",,,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Wild_Matcha_Delight-The_Wild_Matcha_Delight.jpg,True,130.0,3.0,17.0,5.0
414,Lovely Green Gazpacho,Drinks And Smoothies,5.0,,0.0,,Easy,1.0,0.5,1.0,0.25,0.5,0.5,1.0,0.25,0.5,0.5,,cup ice,"cup collard greens, chopped","cup red bell pepper, diced",cup frozen broccoli florets,"cup fresh tomatoes, chopped",garlic clove,"cup fresh cilantro, chopped","a lemon, juiced",cup of water,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Lovely_Green_Gazpacho-Lovely_Green_Gazpacho.jpg,True,70.0,1.0,13.0,4.0
415,The Summer Hearty Shake,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,0.75,0.5,0.5,0.5,1.0,,,,,cup frozen blackberries,cup Whole milk vanilla yogurt,cup unsweetened vanilla almond milk,cup of frozen strawberries,cup frozen peaches,tablespoon hemp seeds,Dash of ground cinnamon,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Summer_Hearty_Shake-The_Summer_Hearty_Shake.jpg,True,187.0,6.0,17.0,6.0
416,Sweet Protein And Cherry Shake,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,3.0,2.0,2.0,2.0,4.0,,,,,cup of water,cups spinach,"bananas, sliced",cups frozen cherries,tablespoons cacao powder,"tablespoons hemp seeds, shelled",,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Sweet_Protein_And_Cherry_Shake-Sweet_Protein_And_Cherry_Shake.jpg,True,111.0,3.0,9.0,13.0
417,Iron And Protein Shake,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,2.0,1.0,0.25,2.0,4.0,,,,,,tablespoons favorite sweetened,cup of water,cup hemp seeds,"large bananas, frozen","cups strawberries, sliced",,,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Iron_And_Protein_Shake-Iron_And_Protein_Shake.jpg,True,156.0,14.0,1.0,7.0
418,Flax And Almond Butter Smoothie,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,0.5,3.0,1.0,2.0,2.0,0.5,,,,teaspoon flax seed,cup crushed ice,strawberries,"banana, frozen",cups spinach,tablespoons almond butter,cup plain yogurt,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Flax_And_Almond_Butter_Smoothie-Flax_And_Almond_Butter_Smoothie.jpg,True,147.0,7.0,15.0,4.0
419,Leeks And Broccoli Cucumber Glass,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,1.0,,cup crushed ice,tablespoon Matcha,"cup leaf lettuce, chopped","cup lettuce, chopped","lime, juiced","cucumbers, diced","leeks, chopped",tablespoons cashew butter,"cup broccoli, diced",,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Leeks_And_Broccoli_Cucumber_Glass-Leeks_And_Broccoli_Cucumber_Glass.jpg,True,219.0,6.0,6.0,4.0
420,Zucchini Apple Smoothie,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.5,1.0,1.0,1.0,0.75,2.0,0.5,,,,cups crushed ice,tablespoon Spirulina,"emon, juiced",stalk celery,avocado,"apples, quartered","cup zucchini, diced",,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Zucchini_Apple_Smoothie-Zucchini_Apple_Smoothie.jpg,True,80.0,4.0,11.0,2.0
421,Flax And Kiwi Spinach Smoothie,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,cup crushed ice,tablespoons ground flax,"kiwis, diced","stalk celery, chopped","banana, chopped","apples, quartered","cup spinach, chopped",,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Flax_And_Kiwi_Spinach_Smoothie-Flax_And_Kiwi_Spinach_Smoothie.jpg,True,142.0,7.0,16.0,6.0
422,Tropical Matcha Kale,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,0.5,1.0,0.5,1.0,0.5,0.25,,,,,cup ice,"cup kale, chopped",cup of frozen mango died,teaspoon matcha powder,cup plain kefir,cup of cold water,,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Tropical_Matcha_Kale-Tropical_Matcha_Kale.jpg,True,126.0,2.0,15.0,6.0
423,Lovely Detox Smoothie,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,cup of coconut water,"avocado, diced","cucumber, diced","cup spinach, chopped","tablespoon ginger, chopped",tablespoon coconut butter,,,,,Add the listed ingredients to your blender/food processor and blend until  smooth,Serve chilled and enjoy!,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Lovely_Detox_Smoothie-Lovely_Detox_Smoothie.jpg,True,310.0,22.0,18.0,5.0
424,Minty Smoothie,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,stalk celery,cups water,ounces almonds,packet Stevia,cup spinach,mint leaves,,,,,Add listed ingredients to blender,Blend until you have a smooth and creamy texture,Serve chilled and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Minty_Smoothie-Minty_Smoothie.jpg,True,417.0,43.0,10.0,5.5
425,Yogurt And Kale Smoothie,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,cup whole milk yogurt,cup baby kale greens,pack stevia,tablespoon MCT oil,tablespoons sunflower seeds,cup water,,,,,Add listed ingredients to blender,Blend until you have a smooth and creamy texture,Serve chilled and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Yogurt_And_Kale_Smoothie-Yogurt_And_Kale_Smoothie.jpg,True,329.0,26.0,15.0,11.0
426,The Raspberry Minty Deligh,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,1.0,1.0,0.5,2.0,1.5,,,,,cup ice,teaspoon probiotics,tablespoon fresh mint,"frozen banana, sliced",cups frozen raspberries,cups unsweetened almond milk,,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Raspberry_Minty_Deligh-The_Raspberry_Minty_Deligh.jpg,True,75.0,2.0,13.0,2.0
427,Blueberry Avocado Smoothie,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,0.5,1.0,0.5,1.0,,,,,,,cup blueberries,avocado,cup unsweetened coconut milk,teaspoon chia seeds,,,,,,,Add the listed ingredients to your blender/food processor and blend until  smooth,Serve chilled and enjoy!,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Blueberry_Avocado_Smoothie-Blueberry_Avocado_Smoothie.jpg,True,389.0,34.0,17.0,5.0
428,Cinnamon And Beet Booster Dose,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,0.25,1.0,1.0,1.0,2.0,,,,,,teaspoon cinnamon,"medium cucumber, diced","medium beet, scrubbed and halved","cup kale, chopped","cups baby spinach, chopped",,,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cinnamon_And_Beet_Booster_Dose-Cinnamon_And_Beet_Booster_Dose.jpg,True,134.0,5.0,12.0,7.0
429,Cantaloupe Lemon Smoothie,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,1.0,0.25,10.0,1.0,,,,,,"cup cantaloupe, cubed",teaspoon fresh lemon juice,cup of coconut milk,drops liquid stevia,"tablespoon fresh mint, chopped",,,,,,Add the listed ingredients to your blender/food processor and blend until  smooth,Serve chilled and enjoy!,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cantaloupe_Lemon_Smoothie-Cantaloupe_Lemon_Smoothie.jpg,True,195.0,14.0,16.0,3.0
430,The Pom Drink,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,cup plain coconut yogurt,cup baby spinach,cup frozen raspberries,cup frozen blackberries,cup unsweetened vanilla coconut milk,,,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Pom_Drink-The_Pom_Drink.jpg,True,148.0,0.0,12.0,0.0
431,Balanced Alkaline Veggie Cubes,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,,0.5,3.0,3.0,1.0,0.75,,,,,Alkaline water as needed,"cup parsley leaves, chopped","cups packed collard green leaves, chopped","cups packed kale, chopped","large cucumber, peeled and cut","cup fresh lime, squeezed",,,,,dd the listed ingredients to your blender/food processor and blend until  smooth,Serve chilled and enjoy!,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Balanced_Alkaline_Veggie_Cubes-Balanced_Alkaline_Veggie_Cubes.jpg,True,20.0,0.2,5.0,11.0
432,Homely Honeydew Twist,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,cup ice,tablespoon fresh mint,"cucumbers, chopped","cup honeydew melon, peeled and seeded, chopped",cup of coconut water,,,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Homely_Honeydew_Twist-Homely_Honeydew_Twist.jpg,True,190.0,2.0,11.0,2.0
433,Raw Green Smoothie,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,2.0,1.0,0.5,0.25,1.0,0.25,1.0,0.5,1.0,,tablespoons omega-rich oil,teaspoon salt,"head romaine lettuce, chopped","medium onion, chopped","lime, peeled and chopped",bunch cilantro,avocado,"English cucumber, peeled and chopped","tomato, chopped",,Add the listed ingredients to your blender/food processor and blend until  smooth,Serve chilled and enjoy!,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Raw_Green_Smoothie-Raw_Green_Smoothie.jpg,True,298.0,26.0,20.0,4.0
434,Original Sleepy Bug,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,cup fennel tea infusion,cup almond milk,"cup watermelon, chopped",green apple,cup pomegranate,inch ginger,Stevia to sweeten,,,,Add the listed ingredients to your blender,Blend until smooth,Add a bit of stevia if you want more sweetness,Serve chilled and enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Original_Sleepy_Bug-Original_Sleepy_Bug.jpg,True,156.0,11.0,14.0,4.0
435,The Ultimate Morning Green,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,2.0,1.0,15.0,1.0,2.0,2.0,,,,"medium whole tomato, diced","cups baby spinach, chopped","medium sweet green pepper, chopped",green grapes,"cucumber, cubed","medium carrots, scrubbed and chopped","medium Granny Smith apples, quartered",,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Ultimate_Morning_Green-The_Ultimate_Morning_Green.jpg,True,203.0,1.0,8.0,4.0
436,Refreshing Watermelon Breather,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,0.5,0.5,,,,,,,,,"key lime, juiced and zest","watermelon, peeled, deseeded, and cubed",,,,,,,,,Add the listed ingredients to your blender/food processor and blend until  smooth,Serve chilled and enjoy!,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Refreshing_Watermelon_Breather-Refreshing_Watermelon_Breather.jpg,True,55.0,1.3,9.0,0.9
437,Fine Liquid Sunrise,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,4.0,1.0,1.0,1.0,1.75,,,,,cup ice,tablespoons protein powder,"cup of frozen mango, sliced",cup of frozen strawberries,cup baby spinach,cup unsweetened coconut milk drink,,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Fine_Liquid_Sunrise-Fine_Liquid_Sunrise.jpg,True,196.0,2.0,10.0,13.0
438,Watercress Detox Delight,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,0.5,0.5,,,,,,,,"key lime, juiced","Avocado, peeled and pitted",cup watercress,,,,,,,,Add the listed ingredients to your blender/food processor and blend until  smooth,Serve chilled and enjoy!,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Watercress_Detox_Delight-Watercress_Detox_Delight.jpg,True,150.0,10.0,8.0,7.0
439,Morning Aloha Smoothie,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,1.0,1.0,0.75,1.25,,,,,,cup ice,"tablespoon coconut, shredded","cup of frozen mango, sliced",cup pineapple sliced,cups unsweetened almond milk,,,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Morning_Aloha_Smoothie-Morning_Aloha_Smoothie.jpg,True,121.0,6.0,14.0,1.0
440,The Ginger And Kale Ale,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,,,2.0,1.0,,1.0,1.0,,,,Handful of kale,Handful of spinach,broccoli heads,tomato,Handful of lettuce,"avocado, cubed","cucumber, cubed",Juice of ½ lemon,Pineapple juice as needed,,Add all the listed ingredients to your blender,. Blend until smooth,Add a few ice cubes and serve the Smoothie,Enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Ginger_And_Kale_Ale-The_Ginger_And_Kale_Ale.jpg,True,140.0,0.0,18.0,1.0
441,Anti-Oxidizing Glass,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,4.0,1.0,,1.0,3.0,5.0,1.0,2.0,,whole ripe avocado,cups organic baby spinach leaves,cup of filtered water,Juice of 1 lemon,"English cucumber, chopped",stems fresh parsley,stems fresh mint,-inch piece of fresh ginger,large ice cubes,,Add all the listed ingredients to your blender,Blend until smooth,Add a few ice cubes and serve the Smoothie,Enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Anti-Oxidizing_Glass-Anti-Oxidizing_Glass.jpg,True,200.0,15.0,16.0,3.0
442,Bright Rainbow Health,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,0.25,1.0,1.0,1.0,1.0,,,,,tablespoon hemp seeds,cup pomegranate arils,cup plain Low-Fat Greek Yogurt,cup frozen tropical fruit mix,cup of frozen strawberries,cup unsweetened vanilla almond milk,,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Bright_Rainbow_Health-Bright_Rainbow_Health.jpg,True,438.0,11.0,9.0,7.0
443,Great Nutty Lion,Drinks And Smoothies,5.0,,0.0,,Easy,2.0,1.0,1.0,4.0,0.75,1.0,1.0,2.0,,,,tablespoon almond butter,tablespoon chia seeds,ice cubes,cup plain low-fat Greek yogurt,cup baby spinach,cup unsweetened almond milk,fresh bananas,,,,Add all the ingredients except vegetables/fruits first,Blend until smooth,Add the vegetable/fruits,Blend until smooth,Add a few ice cubes and serve the smoothie,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Great_Nutty_Lion-Great_Nutty_Lion.jpg,True,250.0,10.0,14.0,8.0
